cardId,name,cardType,rarity,cost,color,bp,assist,colorRestriction,trait,series,effect,flavor,illustrator,imageUrl
BT1-116,エルフの長老 ズモギン,サポーター,R,7,緑,-,-,緑4,メテオラス/エルフ,次元の来訪者,【登場時】制圧中のユニット1体をユニットエリアに移動させる。 【メイン】このサポーターと自分のレイキ1枚をレストすることで、≪レイキ追加1≫（自分のレイキデッキの上から1枚をレイキエリアに置く）。,排他的思想を扇動するエルフ族の長老。大昔に起きた内戦では劣勢を覆し勝利に導き、エルフたちからは英雄視されている。,モト,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/06ce1fe4-f977-4c88-87d5-965bdf4a6dca/R_supportBT1-116.png
BT1-115,フェアリーの協力者 クルミ,サポーター,RR,2,緑,-,-,緑2,メテオラス/フェアリー,次元の来訪者,【メイン】このサポーターをレストすることで、相手のターン終了まで、自分のユニット1体をBP+1000。,少し天然だが明るい性格のフェアリー。ボディランゲージでオロチたちと意思疎通し、長く続く内戦を終わらせるために彼らを導く。,コメスケ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/3408749d-2987-4220-af42-6c196060b29f/RR_supportBT1-115.png
BT1-114,一触即発,イベント,C,4,緑,-,-,緑1,-,次元の来訪者,【メイン】コスト4以下の制圧中のユニット全てをユニットエリアに移動させる。,セイドウも参戦して激化する戦場を後にし、クルミは「争いを止める方法」を知っているという人物の元へ、オロチたちを導く。,流セイヤ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/4b5d940f-70af-47f2-8331-fcc78b017586/C_eventBT1-114.png
BT1-113,悠久の歴史,イベント,C,3,緑,-,-,緑2,-,次元の来訪者,【メイン】自分のレイキ2枚をレイキデッキの下に戻す。その後、≪レイキ追加2≫（自分のレイキデッキの上から2枚をレイキエリアに置く）。,古代遺跡に象形文字で刻まれていたのは、協力関係を築こうとするたびに絶対に「裏切り者」が現れるメテオラスの歴史であった。,流セイヤ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/5569d579-e2db-4f90-b697-16e6db41318f/C_eventBT1-113.png
BT1-112,奥義:ヤーマの罠,イベント,R,3,緑,-,-,緑1,-,次元の来訪者,特徴に「ヤーマ」を持つ自分のユニットがアタックしている間、自分の手札から、このカードを使用するとき、支払う無色コスト-2。 【メイン】【コンバット】制圧中のユニット1体をユニットエリアに移動させる。,ヤーマの知略は短絡的なものを再起不能にする。,モト,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/1b274bb7-98fc-488f-9c91-a3f5062faab2/R_eventBT1-112.png
BT1-111,奥義:オロチの脱皮,イベント,RR,3,緑,-,-,緑1,-,次元の来訪者,特徴に「オロチ」を持つ自分のユニットがいる間、自分の手札から、このカードを使用するとき、支払う無色コスト-1。 【メイン】相手のターン終了まで、自分のユニット1体をBP+3000。,オロチは脱皮することで、あらゆる身体機能が向上する。,モト,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/e9b9d013-a4d0-4259-ae3c-2ea1ff9c9270/RR_eventBT1-111.png
BT1-110,プランニング,イベント,C,2,緑,-,-,緑1,-,次元の来訪者,【メイン】≪レイキ追加1≫（自分のレイキデッキの上から1枚をレイキエリアに置く）,当てがなくても『とりあえずの目的』を決めるのは大事。,モト,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/e83677dd-8808-41a1-a0ab-1fc3aa8b0362/C_eventBT1-110.png
BT1-109,到着！メテオラス！,イベント,C,2,緑,-,-,緑1,-,次元の来訪者,【メイン】相手のターン終了まで、自分のユニット1体をBP+2000。,自然と争いの都市メテオラス。元々三大勢力による争いが絶えず、セイドウの侵略の結果内戦はより混沌、激化している。,モト,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/c653be11-0847-44d3-8236-afaa590a622b/C_eventBT1-109.png
BT1-108,喧噪,イベント,C,2,緑,-,-,緑1,-,次元の来訪者,【メイン】制圧中のユニット1体をユニットエリアに移動させる。,痛々しい争いの痕跡を眺めていたのもつかの間、喧噪に巻き込まれそうになったオロチとヤーマ。,小山内えのん,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/0119b2da-d28c-4ff2-b7ca-8f5dd29106c5/C_eventBT1-108.png
BT1-107,誘い,イベント,R,2,緑,-,-,緑2,-,次元の来訪者,【メイン】ターン終了まで、緑の自分のユニット1体は「このユニットがアタックしている間、相手は助太刀できない。」の効果を得る。,「こっちこっち！！」喧噪に巻き込まれたオロチたちに手を差し伸べたのは、妖精のような少女だった。,流セイヤ,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/a531a850-6024-4874-ba07-6dd286e3306b/R_eventBT1-107.png
BT1-106,ヤーマ,ユニット,RRR,9,緑,10000,-,緑5,ヤーマ/CNP,次元の来訪者,【登場時】制圧中の相手のユニット2体までをユニットエリアに移動させる。,物知りで、決断力に優れている小鬼のヤーマ。逆境に強く、ここぞという場面で能力を発揮する。,モト,https://yhytewknpiutznqvlupd.supabase.co/storage/v1/object/public/card-images/BT1/cf5db34f-de89-4ff8-afdf-f89c926b1bd5/RRR_unitBT1-106.png
